METHOD	OBSERVATION

IDOCOMP	SUCCESSFULLY INSTALLED AND USED
DNACOMPACT
GECO	SUCCESSFULLY INSTALLED AND USED
ERGC	SUCCESSFULLY INSTALLED AND USED
GREEN	SUCCESSFULLY INSTALLED AND USED
COGI
GDC2	SUCCESSFULLY INSTALLED AND USED
DNAZIP	ERROR ON COMPILATION
FRESCO	
ORCOM	
DSRC	SUCCESSFULLY INSTALLED AND USED
MFCOMPRESS	SUCCESSFULLY INSTALLED AND USED
DELIMINATE	SUCCESSFULLY INSTALLED AND USED
FQC	
FQZCOMP	SUCCESSFULLY INSTALLED AND USED
QUIP	SUCCESSFULLY INSTALLED AND USED
GRS	.
NGC	.
ABRC	MISSING FOLLOWING INSTRUCTIONS
DEEZ	SUCCESSFULLY INSTALLED AND USED
SCALCE	SUCCESSFULLY INSTALLED AND USED
LWFQZIP	.
LEON	.
SAMCOMP	SUCCESSFULLY INSTALLED AND USED
